一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量,基期销售额,基期价格,3月1日销售量,a3月1日销售额,平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,二级基期价格,一级基期价格,三级真实权重,二级真实权重,一级真实权重
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,32,23460,733.13,128.62%,100.00%,128.62%,100.00%,128.62%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,580,87142,150.24,86.66%,100.00%,86.66%,100.00%,86.66%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月7日销售量（kg）,3月7日销售额(元),3月7日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,158.37%,86.89%,191.40%,91.79%,190.20%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,147,27728,188.63,49.64%,0.10%,,,,,,,,0.136668%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,1136.5,486742,428.28,157.52%,4.74%,,,,,,,,6.478065%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,364,52077,143.07,39.74%,0.11%,,,,,,,,0.150335%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,92,65620,713.26,183.72%,1.23%,,,,,,,,1.681017%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,11400.3,7117184,624.3,119.31%,24.56%,,,,,,,,33.565669%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,6951.3,3355297,482.69,195.31%,14.98%,,,,,,,,20.472871%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,90.5,49790,550.17,87.61%,0.20%,,,,,,,,0.273336%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,840,748900,891.55,173.67%,27.25%,,,,,,,,37.242039%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,516,64551,125.1,410.34%,87.54%,410.34%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,31,18612,600.39,193.42%,62.73%,193.42%,86.55%,193.42%,3.96%,,169.6567639,166.8469967,100.000000%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,,,,,0.00%,,0.00%,125.88%,1.52%,,137,471.19476,0.000000%,0.000000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,,,,,0.00%,,,,,,,,0.000000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,12,2040,170,125.88%,100.00%,125.88%,0.13%,,,,135.05,,100.000000%,100.000000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,5,3920,784,217.78%,100.00%,217.78%,62.81%,217.78%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,32,23065,720.78,126.45%,100.00%,126.45%,100.00%,126.45%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,600,97270,162.12,93.50%,100.00%,93.50%,100.00%,93.50%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月8日销售量（kg）,3月8日销售额(元),3月8日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,156.26%,86.89%,184.25%,91.79%,184.46%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,75,18360,244.8,64.42%,0.10%,,,,,,,,0.136668%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,2804,1180148,420.88,154.80%,4.74%,,,,,,,,6.478065%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,323,86358,267.36,74.27%,0.11%,,,,,,,,0.150335%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,122,83860,687.38,177.05%,1.23%,,,,,,,,1.681017%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,4140.6,2599155,627.72,119.96%,24.56%,,,,,,,,33.565669%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,6091,2820174,463.01,187.34%,14.98%,,,,,,,,20.472871%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,79.5,42550,535.22,85.23%,0.20%,,,,,,,,0.273336%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,890,787600,884.94,172.39%,27.25%,,,,,,,,37.242039%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,626,73286.5,117.07,384.00%,87.54%,369.85%,13.11%,,,,32.13658256,,87.557512%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,600,84000,140,270.22%,12.44%,,,,,,,,12.442488%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,18,12519,695.5,224.07%,62.73%,216.93%,86.55%,216.93%,3.96%,,169.6567639,166.8469967,89.219172%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,1350,162000,120,157.89%,7.58%,,,,,,,,10.780828%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,,,,,0.00%,,0.00%,127.36%,1.52%,,137,471.19476,0.000000%,0.000000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,,,,,0.00%,,,,,,,,0.000000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,5,860,172,127.36%,100.00%,127.36%,0.13%,,,,135.05,,100.000000%,100.000000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,8,2960,370,102.78%,100.00%,102.78%,62.81%,102.78%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,39,27286,699.64,122.74%,100.00%,122.74%,100.00%,122.74%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,570,100732,176.72,101.93%,100.00%,101.93%,100.00%,101.93%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月9日销售量（kg）,3月9日销售额(元),3月9日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
